Student Number,Name,Section,Grade,Date,Family,FD,Friends,FFD,Personal &  Health,PD,Academic / School,AD,Career,CD,Remarks,Recommendations,Others
,Santiago P. Bautista,Magdalene,Grade 5,2026-01-08,parental pressure,,adjustment difficulties,,gender confusion,,transition to school life,,no identified career,,,conference with adviser/subject teacher,
,Gerald M. Calderon,Maxwell,Grade 3,2026-01-09,parent-child misunderstanding,,boy-girl relationship,,poor health,,learning difficulties,,confusion,,,for assessment,
,Rebecca P. Valera,Agatha,Grade 1,2026-01-10,financial discomfort,,incompatibilities,,low self-esteem,,teacher/s,,parents choice,,,for follow-up,
,Alma G. Pineda,St. Thomas,Kinder,2026-01-11,sibling rivalry,,mistrust,,psychological disturbances,,laziness,,change of interest,,,conference with parent/guardian,
,Isabel J. Pascual,Sofia,Grade 2,2026-01-12,lack of quality time,,bullying,,physical disabilities,,difficult subjects,,undecided,,,conference with adviser/subject teacher,
,Antonio S. Alvarado,BE-Ed,2nd Year,2026-01-13,parental pressure,,peer pressure,,stress,,failing marks,,no identified career,,,for assessment,
,Julio L. Villadolid,BS-MA,3rd Year,2026-01-14,sibling rivalry,,adjustment difficulties,,hospitalization,,misbehavior,,confusion,,,for follow-up,
,Emilia T. Quiambao,BSBA MM,4th Year,2026-01-15,financial discomfort,,boy-girl relationship,,gender confusion,,transition to school life,,parents choice,,,conference with parent/guardian,
,Ricardo T. De Guzman,Barachiel,Grade 6,2026-01-16,parent-child misunderstanding,,incompatibilities,,poor health,,learning difficulties,,change of interest,,,conference with adviser/subject teacher,
,Clara R. Alejo,BS-P,1st Year,2026-01-17,lack of quality time,,mistrust,,low self-esteem,,teacher/s,,undecided,,,for assessment,
,Bernardo M. Fernandez,Margaret,Grade 4,2026-01-18,parental pressure,,bullying,,psychological disturbances,,laziness,,no identified career,,,for follow-up,
,Adela A. Garcia,Magdalene,Grade 5,2026-01-19,parent-child misunderstanding,,peer pressure,,physical disabilities,,difficult subjects,,confusion,,,conference with parent/guardian,
,Carolina S. Martinez,Sofia,Grade 2,2026-01-20,financial discomfort,,adjustment difficulties,,stress,,failing marks,,parents choice,,,conference with adviser/subject teacher,
,Felipe S. Rejano,St. Thomas,Kinder,2026-01-21,sibling rivalry,,boy-girl relationship,,hospitalization,,misbehavior,,change of interest,,,for assessment,
,Carlos V. Mercado,BE-Ed,2nd Year,2026-01-22,lack of quality time,,incompatibilities,,gender confusion,,transition to school life,,undecided,,,for follow-up,
,Jovita J. Villanueva,Agatha,Grade 1,2026-01-23,parental pressure,,mistrust,,poor health,,learning difficulties,,no identified career,,,conference with parent/guardian,
,Gerard A. Abella,BS-MA,3rd Year,2026-01-24,lack of quality time,,bullying,,low self-esteem,,teacher/s,,confusion,,,conference with adviser/subject teacher,
,Jose S. Ortega,BSBA MM,4th Year,2026-01-25,sibling rivalry,,peer pressure,,psychological disturbances,,laziness,,parents choice,,,for assessment,
,Alicia K. Mendoza,Barachiel,Grade 6,2026-01-26,parent-child misunderstanding,,adjustment difficulties,,physical disabilities,,difficult subjects,,change of interest,,,for follow-up,
,Luis A. De Guzman,Maxwell,Grade 3,2026-01-27,financial discomfort,,boy-girl relationship,,stress,,failing marks,,undecided,,,conference with parent/guardian,
,Esteban P. Rosario,Sofia,Grade 2,2026-01-28,parental pressure,,incompatibilities,,hospitalization,,misbehavior,,no identified career,,,conference with adviser/subject teacher,
,Olivia B. Soriano,St. Thomas,Kinder,2026-01-29,parent-child misunderstanding,,mistrust,,gender confusion,,transition to school life,,confusion,,,for assessment,
,Sofia T. Agustin,BS-P,1st Year,2026-01-30,financial discomfort,,bullying,,poor health,,learning difficulties,,parents choice,,,for follow-up,
,Emilio F. Alzate,BE-Ed,2nd Year,2026-01-31,sibling rivalry,,peer pressure,,low self-esteem,,teacher/s,,change of interest,,,conference with parent/guardian,
,Carmen A. De Guzman,BS-MA,3rd Year,2026-02-01,lack of quality time,,adjustment difficulties,,psychological disturbances,,laziness,,undecided,,,conference with adviser/subject teacher,
,Eduardo S. Chavez,BSBA MM,4th Year,2026-02-02,parental pressure,,boy-girl relationship,,physical disabilities,,difficult subjects,,no identified career,,,for assessment,
,Francisco G. Salazar,Monica,Grade 5,2026-02-03,sibling rivalry,,incompatibilities,,stress,,failing marks,,confusion,,,for follow-up,
,Beatriz S. Alvarado,Barachiel,Grade 6,2026-02-04,financial discomfort,,mistrust,,hospitalization,,misbehavior,,parents choice,,,conference with parent/guardian,
,Ricardo R. Garcia,Agnes,Grade 1,2026-02-05,parent-child misunderstanding,,bullying,,gender confusion,,transition to school life,,change of interest,,,conference with adviser/subject teacher,
,Maria F. Luyun,Genevieve,Grade 4,2026-02-06,lack of quality time,,peer pressure,,poor health,,learning difficulties,,undecided,,,for assessment,
,Rosalinda T. Ignacio,St. Thomas,Kinder,2026-02-07,parental pressure,,adjustment difficulties,,low self-esteem,,teacher/s,,no identified career,,,for follow-up,
,Leonardo R. Jimenez,BE-Ed,2nd Year,2026-02-08,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,laziness,,confusion,,,conference with parent/guardian,
,Julio F. Vicente,BS-MA,3rd Year,2026-02-09,financial discomfort,,incompatibilities,,physical disabilities,,difficult subjects,,parents choice,,,conference with adviser/subject teacher,
,Victor T. Rodriguez,BSBA MM,4th Year,2026-02-10,sibling rivalry,,mistrust,,stress,,failing marks,,change of interest,,,for assessment,
,Rosa J. Abella,St. Clare,Grade 3,2026-02-11,lack of quality time,,bullying,,hospitalization,,misbehavior,,undecided,,,for follow-up,
,Antonio F. dela Cruz,Monica,Grade 5,2026-02-12,parental pressure,,peer pressure,,gender confusion,,transition to school life,,no identified career,,,conference with parent/guardian,
,Gloria S. Luna,BS-P,1st Year,2026-02-13,lack of quality time,,adjustment difficulties,,poor health,,learning difficulties,,confusion,,,conference with adviser/subject teacher,
,Hector A. Baluyot,Barachiel,Grade 6,2026-02-14,sibling rivalry,,boy-girl relationship,,low self-esteem,,teacher/s,,parents choice,,,for assessment,
,Felicia A. Segovia,Sofia,Grade 2,2026-02-15,parent-child misunderstanding,,incompatibilities,,psychological disturbances,,laziness,,change of interest,,,for follow-up,
,Miguel F. Pineda,St. Thomas,Kinder,2026-02-16,financial discomfort,,mistrust,,physical disabilities,,difficult subjects,,undecided,,,conference with parent/guardian,
,Cecilia G. Dagohoy,Genevieve,Grade 4,2026-02-17,parental pressure,,bullying,,stress,,failing marks,,no identified career,,,conference with adviser/subject teacher,
,Antonio F. Santos,BE-Ed,2nd Year,2026-02-18,parent-child misunderstanding,,peer pressure,,hospitalization,,misbehavior,,confusion,,,for assessment,
,Carlos V. Zarate,BS-MA,3rd Year,2026-02-19,financial discomfort,,adjustment difficulties,,gender confusion,,transition to school life,,parents choice,,,for follow-up,
,Beatriz J. Alarcon,BSBA MM,4th Year,2026-02-20,parental pressure,,boy-girl relationship,,poor health,,learning difficulties,,change of interest,,,conference with parent/guardian,
,Nelson T. Alviar,Agnes,Grade 1,2026-02-21,lack of quality time,,incompatibilities,,low self-esteem,,teacher/s,,undecided,,,conference with adviser/subject teacher,
,Raul D. Alonzo,Monica,Grade 5,2026-02-22,financial discomfort,,mistrust,,psychological disturbances,,laziness,,no identified career,,,for assessment,
,Dina F. Mercado,St. Clare,Grade 3,2026-02-23,sibling rivalry,,bullying,,physical disabilities,,difficult subjects,,confusion,,,for follow-up,
,Lydia P. Santiago,St. Thomas,Kinder,2026-02-24,parent-child misunderstanding,,peer pressure,,stress,,failing marks,,parents choice,,,conference with parent/guardian,
,Evelyn R. Robles,BS-P,1st Year,2026-02-25,sibling rivalry,,adjustment difficulties,,hospitalization,,misbehavior,,change of interest,,,conference with adviser/subject teacher,
,Andres F. Cruz,Genevieve,Grade 4,2026-02-26,parental pressure,,boy-girl relationship,,gender confusion,,transition to school life,,undecided,,,for assessment,
,Victor A. Reyes,Sofia,Grade 2,2026-02-27,lack of quality time,,incompatibilities,,poor health,,learning difficulties,,no identified career,,,for follow-up,
,Evangeline J. Sebastian,Monica,Grade 5,2026-02-28,parent-child misunderstanding,,mistrust,,low self-esteem,,teacher/s,,confusion,,,conference with parent/guardian,
,Marco A. Camacho,BE-Ed,2nd Year,2026-03-01,financial discomfort,,bullying,,psychological disturbances,,laziness,,parents choice,,,conference with adviser/subject teacher,
,Luciano G. Mendoza,BS-MA,3rd Year,2026-03-02,lack of quality time,,peer pressure,,physical disabilities,,difficult subjects,,change of interest,,,for assessment,
,Jocelyn B. Garcia,BSBA MM,4th Year,2026-03-03,sibling rivalry,,adjustment difficulties,,stress,,failing marks,,undecided,,,for follow-up,
,Aiden P. Bautista,Barachiel,Grade 6,2026-03-04,parent-child misunderstanding,,boy-girl relationship,,hospitalization,,misbehavior,,no identified career,,,conference with parent/guardian,
,Mia A. Reyes,St. Thomas,Kinder,2026-03-05,financial discomfort,,incompatibilities,,gender confusion,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Lucas J. Santos,Sofia,Grade 2,2026-03-06,parental pressure,,mistrust,,poor health,,learning difficulties,,parents choice,,,for assessment,
,Zoe B. Villanueva,BS-P,1st Year,2026-03-07,sibling rivalry,,bullying,,low self-esteem,,teacher/s,,change of interest,,,for follow-up,
,Ethan R. Delgado,BE-Ed,2nd Year,2026-03-08,lack of quality time,,peer pressure,,psychological disturbances,,laziness,,undecided,,,conference with parent/guardian,
,Lily S. Cruz,BS-MA,3rd Year,2026-03-09,parent-child misunderstanding,,adjustment difficulties,,physical disabilities,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Leo V. Fernandez,BSBA MM,4th Year,2026-03-10,financial discomfort,,boy-girl relationship,,stress,,failing marks,,confusion,,,for assessment,
,Isla P. Garcia,Genevieve,Grade 4,2026-03-11,parental pressure,,incompatibilities,,hospitalization,,misbehavior,,parents choice,,,for follow-up,
,Kai F. Mendoza,St. Clare,Grade 3,2026-03-12,financial discomfort,,mistrust,,gender confusion,,transition to school life,,change of interest,,,conference with parent/guardian,
,Nina T. Cruz,Agnes,Grade 1,2026-03-13,sibling rivalry,,bullying,,poor health,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Jaxon M. Dizon,Barachiel,Grade 6,2026-03-14,parent-child misunderstanding,,peer pressure,,low self-esteem,,teacher/s,,no identified career,,,for assessment,
,Kara L. Ramos,St. Thomas,Kinder,2026-03-15,lack of quality time,,adjustment difficulties,,psychological disturbances,,laziness,,confusion,,,for follow-up,
,Liam G. Aquino,BS-A,1st Year,2026-03-16,parental pressure,,boy-girl relationship,,physical disabilities,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Alexa R. Santos,BE-Ed,2nd Year,2026-03-17,parent-child misunderstanding,,incompatibilities,,stress,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Ryan J. Reyes,BS-P,3rd Year,2026-03-18,financial discomfort,,mistrust,,hospitalization,,misbehavior,,undecided,,,for assessment,
,Chloe D. Lopez,BSBA MM,4th Year,2026-03-19,sibling rivalry,,bullying,,gender confusion,,transition to school life,,no identified career,,,for follow-up,
,Milo A. Vargas,Sofia,Grade 2,2026-03-20,lack of quality time,,peer pressure,,poor health,,learning difficulties,,confusion,,,conference with parent/guardian,
,Dahlia F. De Guzman,Monica,Grade 5,2026-03-21,parental pressure,,adjustment difficulties,,low self-esteem,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Nico L. Salazar,St. Clare,Grade 3,2026-03-22,sibling rivalry,,boy-girl relationship,,psychological disturbances,,laziness,,change of interest,,,for assessment,
,Luna P. Rivera,Barachiel,Grade 6,2026-03-23,financial discomfort,,incompatibilities,,physical disabilities,,difficult subjects,,undecided,,,for follow-up,
,Finn T. Torres,BS-A,1st Year,2026-03-24,parent-child misunderstanding,,mistrust,,stress,,failing marks,,no identified career,,,conference with parent/guardian,
,Ember G. Santiago,BS-IE,2nd Year,2026-03-25,lack of quality time,,bullying,,hospitalization,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Zara M. Alonzo,BS-P,3rd Year,2026-03-26,parental pressure,,peer pressure,,gender confusion,,transition to school life,,parents choice,,,for assessment,
,Asher V. Villamor,BSBA MM,4th Year,2026-03-27,parent-child misunderstanding,,adjustment difficulties,,poor health,,learning difficulties,,change of interest,,,for follow-up,
,Olivia R. Mendoza,St. Thomas,Kinder,2026-03-28,financial discomfort,,boy-girl relationship,,low self-esteem,,teacher/s,,undecided,,,conference with parent/guardian,
,Theo S. Valdez,Agnes,Grade 1,2026-03-29,sibling rivalry,,incompatibilities,,psychological disturbances,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Kairos F. Cruz,Genevieve,Grade 4,2026-03-30,lack of quality time,,mistrust,,physical disabilities,,difficult subjects,,confusion,,,for assessment,
,Harper L. Jimenez,Sofia,Grade 2,2026-03-31,parental pressure,,bullying,,stress,,failing marks,,parents choice,,,for follow-up,
,Xander G. Bautista,BS-A,1st Year,2026-04-01,lack of quality time,,peer pressure,,hospitalization,,misbehavior,,change of interest,,,conference with parent/guardian,
,Maya T. Morales,Monica,Grade 5,2026-04-02,sibling rivalry,,adjustment difficulties,,gender confusion,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Caden P. Garcia,BS-IE,2nd Year,2026-04-03,parent-child misunderstanding,,boy-girl relationship,,poor health,,learning difficulties,,no identified career,,,for assessment,
,Eliana M. Reyes,BS-P,3rd Year,2026-04-04,financial discomfort,,incompatibilities,,low self-esteem,,teacher/s,,confusion,,,for follow-up,
,Roman D. Aquino,BSBA MM,4th Year,2026-04-05,parental pressure,,mistrust,,psychological disturbances,,laziness,,parents choice,,,conference with parent/guardian,
,Sienna L. Mendoza,St. Thomas,Kinder,2026-04-06,parent-child misunderstanding,,bullying,,physical disabilities,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Bea F. Navarro,St. Clare,Grade 3,2026-04-07,financial discomfort,,peer pressure,,stress,,failing marks,,undecided,,,for assessment,
,Jude R. Panganiban,Genevieve,Grade 4,2026-04-08,sibling rivalry,,adjustment difficulties,,hospitalization,,misbehavior,,no identified career,,,for follow-up,
,Cleo A. Solis,Agnes,Grade 1,2026-04-09,lack of quality time,,boy-girl relationship,,gender confusion,,transition to school life,,confusion,,,conference with parent/guardian,
,Zane P. Lopez,BS-A,1st Year,2026-04-10,parental pressure,,incompatibilities,,poor health,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Emilia T. Villar,BS-IE,2nd Year,2026-04-11,sibling rivalry,,mistrust,,low self-esteem,,teacher/s,,change of interest,,,for assessment,
,Kai M. Aquino,BS-P,3rd Year,2026-04-12,financial discomfort,,bullying,,psychological disturbances,,laziness,,undecided,,,for follow-up,
,Zane L. De Leon,BSBA MM,4th Year,2026-04-13,parent-child misunderstanding,,peer pressure,,physical disabilities,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Ivy B. Santos,Sofia,Grade 2,2026-04-14,lack of quality time,,adjustment difficulties,,stress,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Ellis R. Fernandez,Monica,Grade 5,2026-04-15,parental pressure,,boy-girl relationship,,hospitalization,,misbehavior,,parents choice,,,for assessment,
,Livia T. Cruz,St. Thomas,Kinder,2026-04-16,parent-child misunderstanding,,incompatibilities,,gender confusion,,transition to school life,,change of interest,,,for follow-up,
,Axel V. Reyes,Barachiel,Grade 6,2026-04-17,financial discomfort,,mistrust,,poor health,,learning difficulties,,undecided,,,conference with parent/guardian,
,Sadie A. Dizon,BS-A,1st Year,2026-04-18,sibling rivalry,,bullying,,low self-esteem,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Jaden F. Mendoza,BS-IE,2nd Year,2026-04-19,lack of quality time,,peer pressure,,psychological disturbances,,laziness,,confusion,,,for assessment,
,Mia G. Pineda,BS-P,3rd Year,2026-04-20,parental pressure,,adjustment difficulties,,physical disabilities,,difficult subjects,,parents choice,,,for follow-up,
,Ryan L. Villanueva,BSBA MM,4th Year,2026-04-21,lack of quality time,,boy-girl relationship,,stress,,failing marks,,change of interest,,,conference with parent/guardian,
,Max T. Aguilar,St. Clare,Grade 3,2026-04-22,sibling rivalry,,incompatibilities,,hospitalization,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,Skyler P. Garcia,Monica,Grade 5,2026-04-23,parent-child misunderstanding,,mistrust,,gender confusion,,transition to school life,,no identified career,,,for assessment,
,Jasmine A. Tolentino,St. Thomas,Kinder,2026-04-24,financial discomfort,,bullying,,poor health,,learning difficulties,,confusion,,,for follow-up,
,Luca S. Mercado,BS-A,1st Year,2026-04-25,parental pressure,,peer pressure,,low self-esteem,,teacher/s,,parents choice,,,conference with parent/guardian,
,Sofia R. Santos,Sofia,Grade 2,2026-04-26,parent-child misunderstanding,,adjustment difficulties,,psychological disturbances,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Kian V. Villamor,Genevieve,Grade 4,2026-04-27,financial discomfort,,boy-girl relationship,,physical disabilities,,difficult subjects,,undecided,,,for assessment,
,Ella F. Rivera,BS-IE,2nd Year,2026-04-28,sibling rivalry,,incompatibilities,,stress,,failing marks,,no identified career,,,for follow-up,
,Theo G. Santos,BS-P,3rd Year,2026-04-29,lack of quality time,,mistrust,,hospitalization,,misbehavior,,confusion,,,conference with parent/guardian,
,Zoe J. Alvarado,BSBA MM,4th Year,2026-04-30,parental pressure,,bullying,,gender confusion,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Zayden R. Mendoza,Barachiel,Grade 6,2026-05-01,sibling rivalry,,peer pressure,,poor health,,learning difficulties,,change of interest,,,for assessment,
,Jazmin A. Cruz,Monica,Grade 5,2026-05-02,financial discomfort,,adjustment difficulties,,low self-esteem,,teacher/s,,undecided,,,for follow-up,
,Liam T. Aquino,Agnes,Grade 1,2026-05-03,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,laziness,,no identified career,,,conference with parent/guardian,
,Aurora M. Garcia,St. Thomas,Kinder,2026-05-04,lack of quality time,,incompatibilities,,physical disabilities,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Xander L. Reyes,BS-IE,2nd Year,2026-05-05,parental pressure,,mistrust,,stress,,failing marks,,parents choice,,,for assessment,
,Nina P. Ramos,BS-P,3rd Year,2026-05-06,parent-child misunderstanding,,bullying,,hospitalization,,misbehavior,,change of interest,,,for follow-up,
,Eliana F. Salazar,BSBA MM,4th Year,2026-05-07,financial discomfort,,peer pressure,,gender confusion,,transition to school life,,undecided,,,conference with parent/guardian,
,Milo T. Perez,St. Clare,Grade 3,2026-05-08,sibling rivalry,,adjustment difficulties,,poor health,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Ivy J. Valdez,Sofia,Grade 2,2026-05-09,lack of quality time,,boy-girl relationship,,low self-esteem,,teacher/s,,confusion,,,for assessment,
,Paxton M. Dela Cruz,BS-A,1st Year,2026-05-10,parental pressure,,incompatibilities,,psychological disturbances,,laziness,,parents choice,,,for follow-up,
,Aiden G. Tolentino,Barachiel,Grade 6,2026-05-11,lack of quality time,,mistrust,,physical disabilities,,difficult subjects,,change of interest,,,conference with parent/guardian,
,Cora L. Villanueva,BS-IE,2nd Year,2026-05-12,sibling rivalry,,bullying,,stress,,failing marks,,undecided,,,for follow-up,
,Nova R. Aguilar,BS-P,3rd Year,2026-05-13,parent-child misunderstanding,,peer pressure,,hospitalization,,misbehavior,,no identified career,,,conference with parent/guardian,
,Blake S. Medina,St. Thomas,Kinder,2026-05-14,financial discomfort,,adjustment difficulties,,gender confusion,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Lyra T. Panganiban,Agnes,Grade 1,2026-05-15,parental pressure,,boy-girl relationship,,poor health,,learning difficulties,,parents choice,,,for assessment,
,Romeo V. Santos,Sofia,Grade 2,2026-05-16,parent-child misunderstanding,,incompatibilities,,low self-esteem,,teacher/s,,change of interest,,,for follow-up,
,Zuri P. Mendoza,St. Clare,Grade 3,2026-05-17,financial discomfort,,mistrust,,psychological disturbances,,laziness,,undecided,,,conference with parent/guardian,
,Ezra M. Aquino,Genevieve,Grade 4,2026-05-18,sibling rivalry,,bullying,,physical disabilities,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Leila A. Torres,Monica,Grade 5,2026-05-19,lack of quality time,,peer pressure,,stress,,failing marks,,confusion,,,for assessment,
,Maximus F. De Leon,Barachiel,Grade 6,2026-05-20,parental pressure,,adjustment difficulties,,hospitalization,,misbehavior,,parents choice,,,for follow-up,
,Aria G. Ramos,Agnes,Grade 1,2026-05-21,sibling rivalry,,boy-girl relationship,,gender confusion,,transition to school life,,change of interest,,,conference with parent/guardian,
,Grayson P. Fernandez,St. Thomas,Kinder,2026-05-22,financial discomfort,,incompatibilities,,poor health,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Dakota F. Jimenez,Sofia,Grade 2,2026-05-23,parent-child misunderstanding,,mistrust,,low self-esteem,,teacher/s,,no identified career,,,for assessment,
,Zara P. Bautista,St. Clare,Grade 3,2026-05-24,lack of quality time,,bullying,,psychological disturbances,,laziness,,confusion,,,for follow-up,
,Ella M. Reyes,Genevieve,Grade 4,2026-05-25,parental pressure,,peer pressure,,physical disabilities,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Kairos R. Cruz,Monica,Grade 5,2026-05-26,parent-child misunderstanding,,adjustment difficulties,,stress,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Juno T. De Guzman,Barachiel,Grade 6,2026-05-27,financial discomfort,,boy-girl relationship,,hospitalization,,misbehavior,,undecided,,,for assessment,
,Livia A. Medina,Sofia,Grade 2,2026-05-28,sibling rivalry,,incompatibilities,,gender confusion,,transition to school life,,no identified career,,,for follow-up,
,Ravi J. Santos,St. Clare,Grade 3,2026-05-29,lack of quality time,,mistrust,,poor health,,learning difficulties,,confusion,,,conference with parent/guardian,
,Nova T. Mendoza,Genevieve,Grade 4,2026-05-30,parental pressure,,bullying,,low self-esteem,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Romeo F. Alvarado,Agnes,Grade 1,2026-05-31,lack of quality time,,peer pressure,,psychological disturbances,,laziness,,change of interest,,,for assessment,
,Kai M. Panganiban,St. Thomas,Kinder,2026-06-01,sibling rivalry,,adjustment difficulties,,physical disabilities,,difficult subjects,,undecided,,,for follow-up,
,Tessa G. Santos,Gregory,Grade 6,2026-06-02,parent-child misunderstanding,,boy-girl relationship,,stress,,failing marks,,no identified career,,,conference with parent/guardian,
,Ezra R. Aquino,Monica,Grade 5,2026-06-03,financial discomfort,,incompatibilities,,hospitalization,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Blake L. Torres,Genevieve,Grade 4,2026-06-04,parental pressure,,mistrust,,gender confusion,,transition to school life,,parents choice,,,for assessment,
,Cora B. Cruz,St. Clare,Grade 3,2026-06-05,parent-child misunderstanding,,bullying,,poor health,,learning difficulties,,change of interest,,,for follow-up,
,Finn T. Rivera,Sofia,Grade 2,2026-06-06,financial discomfort,,peer pressure,,low self-esteem,,teacher/s,,undecided,,,conference with parent/guardian,
,Jasper F. De Guzman,St. Thomas,Kinder,2026-06-07,sibling rivalry,,adjustment difficulties,,psychological disturbances,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Sienna V. Mendoza,Monica,Grade 5,2026-06-08,lack of quality time,,boy-girl relationship,,physical disabilities,,difficult subjects,,confusion,,,for assessment,
,Odin P. Ramos,Gregory,Grade 6,2026-06-09,parental pressure,,incompatibilities,,stress,,failing marks,,parents choice,,,for follow-up,
,Maya L. Bautista,Agnes,Grade 1,2026-06-10,sibling rivalry,,mistrust,,hospitalization,,misbehavior,,change of interest,,,conference with parent/guardian,
,Skyla M. Aguilar,Genevieve,Grade 4,2026-06-11,financial discomfort,,bullying,,gender confusion,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Jace F. Torres,Sofia,Grade 2,2026-06-12,parent-child misunderstanding,,peer pressure,,poor health,,learning difficulties,,no identified career,,,for assessment,
,Lana G. Villanueva,St. Clare,Grade 3,2026-06-13,lack of quality time,,adjustment difficulties,,low self-esteem,,teacher/s,,confusion,,,for follow-up,
,Roman A. Reyes,Agnes,Grade 1,2026-06-14,parental pressure,,boy-girl relationship,,psychological disturbances,,laziness,,parents choice,,,conference with parent/guardian,
,Titus M. Santos,Gregory,Grade 6,2026-06-15,parent-child misunderstanding,,incompatibilities,,physical disabilities,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Zoe B. Valdez,St. Thomas,Kinder,2026-06-16,financial discomfort,,mistrust,,stress,,failing marks,,undecided,,,for assessment,
,Archer T. Garcia,Monica,Grade 5,2026-06-17,sibling rivalry,,bullying,,hospitalization,,misbehavior,,no identified career,,,for follow-up,
,Leah M. Dizon,Sofia,Grade 2,2026-06-18,lack of quality time,,peer pressure,,gender confusion,,transition to school life,,confusion,,,conference with parent/guardian,
,Liam P. Tolentino,St. Clare,Grade 3,2026-06-19,parental pressure,,adjustment difficulties,,poor health,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Sage R. Villanueva,Genevieve,Grade 4,2026-06-20,lack of quality time,,boy-girl relationship,,low self-esteem,,teacher/s,,change of interest,,,for assessment,
,Luca G. Ramos,Gregory,Grade 6,2026-06-21,sibling rivalry,,incompatibilities,,psychological disturbances,,laziness,,undecided,,,for follow-up,
,Eden P. Aquino,Agnes,Grade 1,2026-06-22,parent-child misunderstanding,,mistrust,,physical disabilities,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Milo B. Garcia,St. Clare,Grade 3,2026-06-23,financial discomfort,,bullying,,stress,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Gracie T. Bautista,Sofia,Grade 2,2026-06-24,parental pressure,,peer pressure,,hospitalization,,misbehavior,,parents choice,,,for assessment,
,Archer F. Villamor,St. Thomas,Kinder,2026-06-25,parent-child misunderstanding,,adjustment difficulties,,gender confusion,,transition to school life,,change of interest,,,for follow-up,
,Nova G. Pineda,Monica,Grade 5,2026-06-26,financial discomfort,,boy-girl relationship,,poor health,,learning difficulties,,undecided,,,conference with parent/guardian,
,Theo R. Cruz,Genevieve,Grade 4,2026-06-27,sibling rivalry,,incompatibilities,,low self-esteem,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Vera L. Mendoza,Agnes,Grade 1,2026-06-28,lack of quality time,,mistrust,,psychological disturbances,,laziness,,confusion,,,for assessment,
,Riley T. Santos,Gregory,Grade 6,2026-06-29,parental pressure,,bullying,,physical disabilities,,difficult subjects,,parents choice,,,for follow-up,
,Blair M. Dizon,St. Clare,Grade 3,2026-06-30,sibling rivalry,,peer pressure,,stress,,failing marks,,change of interest,,,conference with parent/guardian,
,Zane V. Reyes,Sofia,Grade 2,2026-07-01,financial discomfort,,adjustment difficulties,,hospitalization,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,Archer L. Tolentino,St. Thomas,Kinder,2026-07-02,parent-child misunderstanding,,boy-girl relationship,,gender confusion,,transition to school life,,no identified career,,,for assessment,
,Evelyn M. Aquino,BS-A,1st Year,2026-07-03,lack of quality time,,incompatibilities,,poor health,,learning difficulties,,confusion,,,for follow-up,
,Lara P. Alvarado,Genevieve,Grade 4,2026-07-04,parental pressure,,mistrust,,low self-esteem,,teacher/s,,parents choice,,,conference with parent/guardian,
,Ella F. Cruz,BS-IE,2nd Year,2026-07-05,parent-child misunderstanding,,bullying,,psychological disturbances,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Hudson T. Mendoza,Monica,Grade 5,2026-07-06,financial discomfort,,peer pressure,,physical disabilities,,difficult subjects,,undecided,,,for assessment,
,Maxim M. Panganiban,Gregory,Grade 6,2026-07-07,sibling rivalry,,adjustment difficulties,,stress,,failing marks,,no identified career,,,for follow-up,
